Price,Close,High,Low,Open,Volume
Ticker,EMR,EMR,EMR,EMR,EMR
Date,,,,,
2018-01-02,58.658634185791016,58.67522201920739,57.796250313878986,58.09476805132564,3086500
2018-01-03,59.19765090942383,59.25569569907781,58.22747099960396,58.642078447534594,3308800
2018-01-04,59.280574798583984,59.54592332860772,59.04839562561421,59.28886871944947,2806400
2018-01-05,60.06002426147461,60.09319361045888,59.04008734102912,59.504451900402515,3118800
2018-01-08,59.86930465698242,60.06002684022929,59.43811575448609,60.06002684022929,2334700
2018-01-09,59.968814849853516,60.19270006509765,59.61225222823735,60.05173506563257,3367600
2018-01-10,60.19269943237305,60.28391356669328,59.4546987648053,59.48786811604964,2411300
2018-01-11,61.262386322021484,61.27897416058609,60.08490284020576,60.433171533181095,2917300
2018-01-12,61.287261962890625,61.73503233693527,61.23750477856977,61.36188824976268,3500400
2018-01-16,60.3917121887207,61.262383886545635,59.794676552265585,60.85607042756067,3899900
2018-01-17,60.59070587158203,61.179447432770544,60.44144700209728,60.574124364485876,3276100
2018-01-18,60.905818939208984,61.32042630115433,60.53267484402068,60.93070069510698,2356200
2018-01-19,60.64875411987305,61.19603878155644,60.433156556809415,61.05506749431952,3538100
2018-01-22,60.74825668334961,60.764838189906826,59.99366844370132,60.482908293601724,3521500
2018-01-23,60.63218688964844,61.237510135247774,60.54097275788853,60.81460882676155,3205600
2018-01-24,60.225868225097656,61.11312780183329,59.836142586006304,60.98045672449315,3284300
2018-01-25,60.26732635498047,60.698515227567,59.52932575720315,60.59901350965041,3293700
2018-01-26,61.40336608886719,61.40336608886719,60.267339394414094,60.44976768527303,3587500
2018-01-29,60.52436447143555,61.25407727898208,60.45803211962596,61.08823058344671,2136400
2018-01-30,60.09318923950195,60.45804572538422,59.778083610274194,60.0600198929303,2311600
2018-01-31,59.89419174194336,60.73998811016536,59.72834497514973,60.49122112317857,5458100
2018-02-01,60.18440246582031,60.61559131202662,57.821141913791955,59.23080432688792,3022200
2018-02-02,58.51768112182617,59.98538835710422,58.46793026427963,59.58736884391964,4853000
2018-02-05,56.75146484375,59.22252148800928,56.569036569393866,58.06161946371238,4426300
2018-02-06,57.423126220703125,59.189351507818955,54.728178058720665,55.30862590150793,7320400
2018-02-07,57.182647705078125,58.47622067488888,56.99193185768623,57.55579813388181,4045300
2018-02-08,55.059852600097656,57.315317401941535,55.02668325578753,57.182640024701044,4350200
2018-02-09,57.273860931396484,57.854308709638325,55.059859129008814,55.97199406327725,5979300
2018-02-12,58.302093505859375,58.924004637245126,57.66360086125583,57.804565866032206,5187900
2018-02-13,58.360137939453125,58.47622751049847,57.54751094213569,57.953824440794406,3542100
2018-02-14,59.131290435791016,59.628824251313546,57.8211361906101,58.63376294667375,5000200
2018-02-15,59.69484329223633,60.60487351013132,58.93508768377506,60.05384749969202,4089400
