Price,Close,High,Low,Open,Volume
Ticker,HON,HON,HON,HON,HON
Date,,,,,
2018-01-02,118.37301635742188,118.59635398910797,117.60291844062715,118.45772569736828,3169995
2018-01-03,117.39497375488281,118.2882981986445,116.9021064419305,117.74922579462073,7015701
2018-01-04,118.98143005371094,118.98143005371094,117.60295166153074,117.67996017414475,4977610
2018-01-05,119.81311798095703,120.32908789436264,118.98910108609778,119.35105401287228,2744244
2018-01-08,119.16624450683594,120.24438952805343,118.773488146883,120.13657762757022,3033060
2018-01-09,120.1442642211914,120.72954176255776,119.22013631032198,119.37415329273651,3754711
2018-01-10,120.97594451904297,120.99904705925844,119.38181721142692,120.2674406027276,2836236
2018-01-11,121.61520385742188,121.67681066985504,120.91441335779946,120.99912272489506,2578638
2018-01-12,122.50077819824219,122.82422684073727,121.52274443051101,122.12342361669624,2594357
2018-01-16,121.5920639038086,123.10146936874789,121.1222990952995,122.5546960683834,3788585
2018-01-17,121.99252319335938,122.40838206480919,121.25321564229495,121.43804903415676,3501541
2018-01-18,121.5073471069336,122.94744484083694,121.4996462582206,122.36986817917108,2939961
2018-01-19,122.20816040039062,122.21586125055626,121.3687547241437,121.99253659575288,4168395
2018-01-22,122.09262084960938,122.42377034223996,121.68446287222515,122.21583442521518,3619104
2018-01-23,122.90125274658203,123.47882946933234,122.26205621942037,122.43918876674343,4319943
2018-01-24,123.19388580322266,123.69445403384589,122.54700143065794,123.39412090038705,2938854
2018-01-25,124.63397979736328,124.67249705222885,122.96285646713173,123.67904846346198,4519977
2018-01-26,127.05985260009766,127.14456196092341,123.9871220000582,125.30400654293226,5556901
2018-01-29,124.34908294677734,127.16767263617072,124.29517698644521,126.95203578664713,4062456
2018-01-30,122.42376708984375,123.98707831338034,121.6844596394699,123.48651016759021,4304224
2018-01-31,122.96287536621094,123.6251615189891,122.6779308888357,123.2093025828006,3641908
2018-02-01,122.94747161865234,123.84079628030692,122.00024100426607,122.44690333509335,3048115
2018-02-02,120.63713073730469,122.83963861152856,120.43690866155296,122.20814297162192,4659016
2018-02-05,115.64685821533203,121.30713939441746,113.19792273125869,119.71302432668313,6389805
2018-02-06,116.59407806396484,117.39499245315048,113.35194227491417,113.72928391209943,5888336
2018-02-07,116.43231964111328,119.00448060648144,116.29370439413015,116.58633658220565,3511282
2018-02-08,112.450927734375,116.66341002319267,112.21988921164356,116.66341002319267,3722386
2018-02-09,113.8987045288086,114.98455025263273,110.77976963094645,113.22100380139898,5984312
2018-02-12,115.10777282714844,116.00109739602341,113.26721774226539,114.77663629475944,3825337
2018-02-13,114.36077117919922,115.09236485863151,114.05272420416968,114.63800174935375,3116527
2018-02-14,115.80857849121094,116.10891163129352,113.24411747673761,113.82940807379563,3277042
2018-02-15,118.14967346191406,118.48851076929803,116.12428542456031,116.73267842465046,4024264
2018-02-16,118.61945343017578,119.38955132680458,117.66452215213114,117.89554761866258,3100808
2018-02-20,118.85818481445312,119.6128940536894,117.48739463000209,117.75693736064112,4111163
2018-02-21,118.63487243652344,120.79886332151901,118.6194707365076,119.35106449545248,4488760
2018-02-22,118.63873291015625,119.79176161940889,118.23632968133478,119.18042503962161,2462403
2018-02-23,120.03938293457031,120.15545700251572,118.87860304090411,119.04884500722405,3504197
2018-02-26,121.1072769165039,121.27751886372587,120.03161812666647,120.3953299034978,3213500
2018-02-27,119.11075592041016,121.44777927180377,119.04884974837384,121.20789285516305,3429696
2018-02-28,116.93624877929688,119.93103826556936,116.83565125022197,119.48220544906141,3906591
2018-03-01,113.91824340820312,117.19934890793522,113.46941059591258,117.10648965120015,5121298
2018-03-02,114.637939453125,115.14094026931538,113.08250736657388,113.22953455351053,3768105
2018-03-05,114.92424011230469,115.28793885291306,113.38427188241128,114.19681648828023,3763788
2018-03-06,115.55880737304688,116.01537850104224,114.77721574353117,115.58202218948364,3080660
2018-03-07,116.39458465576172,117.1142571464448,113.9414866545266,114.19684967426949,4411270
2018-03-08,117.02912902832031,117.55534465388813,116.20884596284392,117.12972657543932,2420226
2018-03-09,119.335205078125,119.53640018143669,117.31546348617395,117.6327326875501,3193242
2018-03-12,117.80297088623047,119.52864477769164,117.57080965196691,119.49769168931057,2673618
2018-03-13,117.23804473876953,118.87859736832718,116.91302429262748,118.12022068446353,2087685
2018-03-14,116.40229034423828,118.12022575582468,116.14691432457593,118.0892726711873,2245432
2018-03-15,116.9052963256836,117.34639087310981,116.17013438950504,116.6034906654221,2045508
2018-03-16,117.4547119140625,117.96545084088808,117.07552358636094,117.07552358636094,4792409
2018-03-19,116.23204040527344,117.19935048542573,115.5201063559843,116.9052961684734,2405946
2018-03-20,116.44876098632812,117.5476220207996,116.20112315060307,116.72733884618414,3012248
2018-03-21,117.12973022460938,118.22086594542267,116.12372857926366,116.67315904051488,2866789
2018-03-22,113.66287994384766,116.29397093724671,113.29142980444689,115.76774228144224,2855387
2018-03-23,110.87701416015625,114.63018045626518,110.73772527139815,113.74799135132108,4001239
2018-03-26,113.70930480957031,114.00337221414202,111.68956355141135,112.56401442179576,2485761
2018-03-27,111.69732666015625,114.64568734776992,111.10146651799828,114.20459267853397,3410324
2018-03-28,110.86151885986328,112.24670845569514,110.26565897625368,111.35678122972365,5559558
2018-03-29,111.82884979248047,112.87354262043488,111.11691572082891,111.44192313398497,2848523
2018-04-02,110.21924591064453,111.92944311547943,108.47034427715126,111.31036832801288,4529940
2018-04-03,111.63540649414062,111.69731267555872,109.600181958691,110.66035799399239,3548699
2018-04-04,112.08424377441406,112.26222405296775,109.53828007105942,109.74721997723901,3065273
2018-04-05,113.29144287109375,113.70932269219071,112.42473013633025,112.8426099574272,2479229
2018-04-06,110.45913696289062,112.91997274457005,109.48408857634963,112.33958928999184,3174755
2018-04-09,110.52877044677734,112.44791394241871,110.3817432976221,110.90795879758146,2161300
2018-04-10,112.6955795288086,113.80991697210243,111.89851127523472,112.22353180928167,3188593
2018-04-11,111.65088653564453,112.765223978877,111.39551045789166,111.81339026695558,2162075
2018-04-12,113.34561157226562,113.87956549421627,112.28544200156063,112.28544200156063,2576645
2018-04-13,113.07478332519531,114.04209371433863,112.50213797996167,113.91054305683832,1758464
