Price,Close,High,Low,Open,Volume
Ticker,LLY,LLY,LLY,LLY,LLY
Date,,,,,
2018-01-02,75.26229095458984,75.54670179599803,74.7112419827224,75.06675722970496,3456700
2018-01-03,75.67113494873047,75.91999359995839,74.89788975593828,75.31561968373786,3078400
2018-01-04,76.0088882446289,76.25775373412178,75.31563704755546,75.79558174881198,2462500
2018-01-05,76.94209289550781,77.10207441625262,76.37327121750171,76.5154732465586,2946300
2018-01-08,76.55101776123047,77.06651447418145,75.90220877845476,77.04874176516768,3251400
2018-01-09,76.48881530761719,76.80877836800494,76.20440445181582,76.61324463322468,2426000
2018-01-10,76.52436828613281,76.58658294956577,75.9822090272643,76.08886564210212,1674600
2018-01-11,76.78211975097656,76.95987400191133,76.31995463001218,76.58658600641431,2647500
2018-01-12,77.30651092529297,77.68868869037696,76.46216123081463,76.89766391817858,2728900
2018-01-16,75.80445098876953,76.95986707767031,75.68002166813237,76.3732726776507,4878300
2018-01-17,76.62214660644531,76.755465699696,75.96444766887025,76.25774831784359,4083300
2018-01-18,76.27552032470703,76.55993122325353,75.78668591428773,76.47105408887475,4445800
2018-01-19,75.98221588134766,76.68435673536563,75.83112408236528,76.58658985816753,5826900
2018-01-22,75.93778228759766,76.05332188083221,73.23587543973997,73.99134123126852,6374000
2018-01-23,75.03121948242188,76.36439682978924,74.87123792950217,75.70669790373739,5728100
2018-01-24,74.924560546875,75.68891600912895,74.9067810537678,75.4222778596395,5977700
2018-01-25,75.55561065673828,75.90223624549455,75.15565335986416,75.37784959783055,5201600
2018-01-26,77.3953857421875,77.74201128842508,75.3334051780272,75.3334051780272,6394100
2018-01-29,77.8575668334961,78.5063828853357,77.01322377210627,77.1198736353352,5324500
2018-01-30,76.51548767089844,77.27096024959934,75.73335941141922,77.00432207112955,5388400
2018-01-31,72.39154052734375,77.08433134675049,72.2315589450811,76.87990779906806,10558500
2018-02-01,73.24478149414062,73.65362181609775,72.24933976618502,72.47153603556772,8410700
2018-02-02,72.15155792236328,73.79580861908718,72.09823299864064,72.77370463542943,5152500
2018-02-05,68.87193298339844,72.5337288393341,68.03647987354769,71.89380269160846,8145200
2018-02-06,69.31633758544922,70.31177918828553,67.28990894832815,68.0453748130947,10558800
2018-02-07,68.18756866455078,69.82292938712833,68.17867891819839,69.11190563939925,8240300
2018-02-08,65.95672607421875,69.01414827502227,65.93895335995643,68.60530803808305,8059600
2018-02-09,67.7520751953125,68.27645502594895,65.4945607594389,66.71219171981397,8939700
2018-02-12,67.76983642578125,68.52530209861207,66.83660973641472,68.15201413522124,6454200
2018-02-13,67.73429870605469,68.07203453835622,67.32545845193467,67.56542739945849,4041200
2018-02-14,68.97261810302734,69.1158852931694,67.4593908560911,67.52207537529497,4361100
2018-02-15,69.85908508300781,69.97549142190006,68.97264124844226,69.617330157711,4810700
2018-02-16,70.70970916748047,71.31858118304999,69.76058775519975,69.79639772844769,4699600
2018-02-20,69.43822479248047,70.46792861648635,69.10692456192018,70.00232394373758,3195000
2018-02-21,69.43822479248047,70.51270131811928,69.43822479248047,69.47403475616063,3871100
2018-02-22,69.11589050292969,69.92174459847706,68.51596763818388,69.11589050292969,7687400
2018-02-23,70.51273345947266,70.6112279828771,69.51883914610667,69.5994286795095,5170300
2018-02-26,71.79313659667969,72.05280328740521,70.70970395483927,70.7276089401433,6015900
2018-02-27,70.46793365478516,71.81998873077775,70.45898457890286,71.76626695006136,4860400
2018-02-28,68.96366119384766,70.89772724453205,68.95471211811052,70.53956610573618,6123400
2018-03-01,68.49807739257812,69.27707759476286,67.62953858621711,68.99949904105145,6258400
2018-03-02,69.15172576904297,69.48301930481281,68.33690871665756,68.39063051567797,3216700
2018-03-05,69.57254028320312,69.91279647439575,68.68609666721082,68.85622476280713,3816600
2018-03-06,69.11589050292969,69.84116192146479,68.83831200894528,69.71580653631936,2962700
2018-03-07,69.33975219726562,69.49196850068807,68.53389113303305,68.56970793937198,2266500
2018-03-08,70.6380844116211,70.75448391765813,69.3666184298953,69.52779065513927,3497200
2018-03-09,71.28276824951172,71.59615676762728,70.62912348485011,70.98728471899247,4399500
2018-03-12,70.77239227294922,71.60511425738093,70.38737013323654,71.4797588473682,5059600
2018-03-13,70.87086486816406,71.51555353820383,70.53060871933454,70.80818718254105,4863200
2018-03-14,70.27991485595703,71.23799218421311,69.85907593797741,71.08577588705025,3167900
2018-03-15,70.51273345947266,71.50662777283864,70.25306670062082,70.36051713470518,3910100
2018-03-16,72.07070922851562,72.07070922851562,70.84401619390505,70.91564296742756,8326300
2018-03-19,70.49481201171875,71.81104365733323,69.98443452384797,71.7394168826906,5117000
2018-03-20,70.17247009277344,70.91564657933688,69.70685846870123,70.77238619363868,3943800
2018-03-21,70.05604553222656,70.73655097335728,69.86801248231316,70.2530344887135,4052000
2018-03-22,68.52493286132812,69.85012732475533,68.4174892773726,69.44719339085086,3816900
2018-03-23,66.94005584716797,68.7666713007742,66.71620601458909,68.73980358252675,4298100
2018-03-26,68.21154022216797,68.25631293367421,66.84157995889942,67.70116273523739,3488700
2018-03-27,67.74593353271484,68.58760446812789,67.28032193908881,68.1309487828214,4070600
2018-03-28,68.95471954345703,69.53673060275439,68.08618090853953,68.10408589329742,4257500
2018-03-29,69.2770767211914,69.66209886251625,68.59657104158893,69.35765941452665,3424000
2018-04-02,67.78175354003906,69.22334758190905,67.51313773288558,68.838325443434,6282600
2018-04-03,69.42927551269531,69.4829972946983,67.92500413440978,68.27420938014073,3610600
2018-04-04,70.37837982177734,70.5753687501804,68.68607578246619,68.78457024666773,3022200
2018-04-05,70.39629364013672,70.60223164835588,69.92172628483328,70.30674824732384,2213100
2018-04-06,68.81148529052734,70.06504659589514,68.31901941326969,70.00236887219472,4012800
2018-04-09,69.25018310546875,70.15453837030871,68.34583467198377,69.18750542362964,5377500
2018-04-10,70.93356323242188,71.34544626249648,69.90385224155668,69.92175722923062,3657200
2018-04-11,70.49481201171875,70.64702830094974,69.94861772084832,70.15455579890045,2830000
2018-04-12,70.99624633789062,71.34545169063877,70.5664514560848,70.9067077299938,2121100
2018-04-13,71.38124084472656,72.03487857735563,70.95144612943676,71.52450119558632,2652400
2018-04-16,71.73941040039062,72.30350962611112,71.3364765265708,72.0438429513444,2743000
2018-04-17,71.56033325195312,72.20502204669523,71.17531115683529,72.14234434894846,3782400
2018-04-18,71.38124084472656,71.84684552421486,71.26483455133805,71.59613478669384,4261000
2018-04-19,71.40811157226562,71.40811157226562,70.33363488303107,70.70074513316634,4989400
2018-04-20,70.790283203125,71.5513782530921,70.57538923311445,71.3096165593936,5424100
2018-04-23,71.81103515625,71.89162466129808,70.88877479009666,71.12158056635617,4015900
2018-04-24,71.71255493164062,72.97507172145593,70.66493897712829,72.67958819643228,6394900
2018-04-25,72.65272521972656,73.70929705329829,71.64092610006703,71.87372508461077,5379000
2018-04-26,73.91522979736328,74.81957835347472,72.90342401302115,72.90342401302115,5058700
2018-04-27,74.07642364501953,74.53307259476051,73.76302827030275,73.87047869860776,3209600
2018-04-30,72.59001922607422,74.50617313532709,72.58106332051106,74.39872276263236,5483500
2018-05-01,70.79923248291016,72.46467596512703,70.45898315963404,72.24082610817698,6306100
2018-05-02,70.58433532714844,71.08575679790874,70.2530350946217,70.45002405280758,5166300
2018-05-03,69.87698364257812,70.46794380968655,69.33974526392775,70.42317792975705,4469300
2018-05-04,70.1993408203125,70.39632985567528,69.02636251829536,69.32184607133952,3367500
2018-05-07,70.40526580810547,70.96937190990099,70.04711144479245,70.20828364082594,3722600
2018-05-08,70.62910461425781,70.64701642842581,69.99337183840413,70.270950307164,4591700
2018-05-09,70.97830963134766,71.3185657859573,70.24408237385308,70.70073799478126,3325200
2018-05-10,72.40200805664062,72.67957973071219,71.10368144352785,71.14844732215037,3718400
2018-05-11,73.82569885253906,73.82569885253906,72.5452770721087,72.66168339937515,4393800
2018-05-14,74.38082885742188,74.60467871034915,73.8704514660019,73.95999004090173,4739700
2018-05-15,73.61080169677734,74.26444642301077,73.27055230159212,74.06745741424571,3662700
2018-05-16,73.18977355957031,73.88398247476869,72.99142618995266,73.74875188499608,3614500
2018-05-17,73.62252044677734,73.78479712885792,73.05452454564619,73.06354220969365,2808400
2018-05-18,73.9921646118164,74.19051195673656,73.46925013492918,73.46925013492918,4002300
2018-05-21,73.77580261230469,74.41591933158713,73.63154746958334,74.19052582993288,2505900
2018-05-22,74.12740325927734,74.73145608967162,73.7577546780595,74.05527570024032,2620700
2018-05-23,74.5421142578125,74.75849002119793,73.57743066791151,73.66758666278365,2516900
2018-05-24,74.56916809082031,74.64129564557216,74.01920752314636,74.56916809082031,2481800
2018-05-25,74.6232681274414,75.25437397987588,74.46098455149688,74.64130345724799,2338100
2018-05-29,74.32575988769531,74.48804347656002,73.61351562981483,74.02823882836609,3459300
2018-05-30,75.60599517822266,75.75024343949062,74.74950264107308,74.75851342845857,3475400
2018-05-31,76.66983795166016,76.73294784348823,75.44369701460408,75.62400902598078,9526400
